thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.999878;0.980167;0.882872;0.789932;0.632183;0.255541;0.103954;0.034984;0.012129;0.006254;0.003239;0.002896;
0.999435;0.980531;0.887473;0.796252;0.655382;0.285455;0.135069;0.063908;0.032804;0.026345;0.019703;0.012828;
0.998597;0.964456;0.885731;0.789770;0.653250;0.272304;0.103473;0.029775;0.004092;0.003270;0.002896;0.002896;
0.999833;0.976543;0.878802;0.804005;0.665399;0.278465;0.113913;0.038387;0.007785;0.004840;0.002917;0.002896;
0.987097;0.963738;0.865154;0.800255;0.644348;0.299345;0.137824;0.060602;0.025375;0.015490;0.009269;0.004884;
0.994384;0.962046;0.858550;0.786130;0.642255;0.300613;0.135796;0.054340;0.022471;0.013588;0.006489;0.003012;
0.998114;0.966645;0.885918;0.805151;0.654359;0.269111;0.117441;0.047081;0.017555;0.007999;0.003766;0.002868;
0.999992;0.993587;0.894987;0.802134;0.665046;0.263507;0.108451;0.042204;0.010238;0.005317;0.003503;0.002871;
0.999991;0.992716;0.890503;0.795807;0.657410;0.255148;0.098641;0.029159;0.003405;0.003204;0.002868;0.002868;
0.999991;0.992652;0.895195;0.807486;0.664814;0.259608;0.105091;0.032146;0.004538;0.003215;0.002868;0.002868;
0.999933;0.994880;0.911810;0.807701;0.691136;0.318676;0.176622;0.093792;0.047635;0.024392;0.004506;0.002868;
1.000000;0.995076;0.904665;0.803239;0.658381;0.273831;0.118089;0.041355;0.007746;0.003306;0.002866;0.002866;
0.997109;0.987024;0.891579;0.805156;0.658976;0.298765;0.143570;0.061217;0.028946;0.019033;0.012243;0.006797;
0.999277;0.978274;0.885170;0.799013;0.663787;0.308216;0.157004;0.081425;0.050579;0.037405;0.022141;0.008232;
0.999513;0.977578;0.891387;0.804846;0.657801;0.279715;0.120398;0.043895;0.013012;0.005824;0.004105;0.003096;
0.999987;0.987088;0.887862;0.805821;0.637747;0.283608;0.125398;0.058875;0.029799;0.022829;0.016198;0.007567;
0.999911;0.981873;0.882635;0.797412;0.626542;0.238784;0.094623;0.026064;0.004111;0.003270;0.002867;0.002866;
0.998901;0.965113;0.865743;0.795611;0.628000;0.272414;0.127416;0.043401;0.012113;0.005284;0.003088;0.002869;
0.999881;0.982062;0.901567;0.814493;0.663339;0.305762;0.157394;0.084749;0.045080;0.029191;0.017121;0.006303;
0.978853;0.938104;0.872205;0.815350;0.651573;0.331876;0.187962;0.107195;0.058746;0.041111;0.025824;0.015849;
0.994212;0.969973;0.894319;0.818357;0.688024;0.316587;0.162351;0.080067;0.039549;0.020688;0.010793;0.005476;
0.999989;0.992985;0.909766;0.843481;0.700345;0.358980;0.211243;0.119881;0.066732;0.040673;0.024237;0.013020;
0.992574;0.940132;0.864605;0.806182;0.653496;0.337632;0.187713;0.108660;0.056077;0.026437;0.010841;0.004965;
0.998517;0.951707;0.892446;0.829716;0.647561;0.301213;0.140738;0.056930;0.025127;0.012921;0.005548;0.003359;
0.990626;0.946020;0.879003;0.805623;0.614239;0.250584;0.112319;0.043947;0.017255;0.008933;0.005327;0.002886;
0.999919;0.986046;0.898283;0.806686;0.611007;0.228842;0.089144;0.025380;0.003923;0.003260;0.002886;0.002886;
0.998518;0.978215;0.893835;0.800747;0.641494;0.280237;0.139326;0.067425;0.032578;0.008803;0.002891;0.002886;
0.976701;0.938150;0.876322;0.799918;0.650880;0.270732;0.136731;0.067004;0.035836;0.023203;0.013082;0.003331;
0.999753;0.982274;0.898120;0.803206;0.651247;0.270771;0.125411;0.049805;0.014566;0.007617;0.004316;0.002886;
0.999478;0.980910;0.878230;0.792895;0.644253;0.238803;0.098020;0.035852;0.012071;0.008024;0.005743;0.004013;
0.999991;0.990087;0.892346;0.795618;0.648010;0.242284;0.096237;0.031895;0.004834;0.003230;0.002877;0.002877;
0.999667;0.989566;0.868770;0.776085;0.636303;0.248749;0.111184;0.044592;0.015094;0.005902;0.002877;0.002877;
0.998835;0.963551;0.889108;0.812989;0.679767;0.303697;0.147559;0.062598;0.017868;0.006831;0.003706;0.003090;
0.985245;0.948708;0.883244;0.800207;0.664697;0.278772;0.126809;0.040141;0.008739;0.004556;0.002893;0.002877;
0.999488;0.976164;0.888556;0.821672;0.674874;0.327276;0.174692;0.091591;0.046841;0.028449;0.014778;0.009775;
0.999987;0.987669;0.900796;0.829685;0.670796;0.319201;0.163472;0.075273;0.027558;0.010714;0.004652;0.003059;
0.997818;0.969967;0.900752;0.826645;0.647309;0.300698;0.139323;0.056921;0.018081;0.006768;0.003125;0.002886;
0.995126;0.950208;0.876518;0.813632;0.655654;0.299491;0.144357;0.073070;0.036183;0.024144;0.015642;0.006279;
0.999922;0.981053;0.887421;0.794379;0.649931;0.265335;0.113980;0.043983;0.011476;0.005710;0.003267;0.002886;
0.998751;0.969851;0.863362;0.782422;0.650003;0.267208;0.117138;0.045232;0.011788;0.005132;0.002910;0.002886;
0.999456;0.980219;0.884257;0.806997;0.671085;0.294992;0.135594;0.058780;0.021543;0.009769;0.004419;0.002931;
0.999919;0.986806;0.889194;0.796509;0.641341;0.249416;0.093545;0.028867;0.003785;0.003160;0.002886;0.002886;
0.999996;0.994464;0.895962;0.802566;0.682466;0.295842;0.133684;0.057970;0.026715;0.019315;0.012926;0.007815;
0.998133;0.967784;0.864876;0.772469;0.620956;0.247281;0.094364;0.026814;0.003530;0.003185;0.002861;0.002861;
0.999952;0.985535;0.869116;0.779365;0.637949;0.243544;0.090058;0.028300;0.004601;0.003346;0.002861;0.002861;
0.999987;0.991921;0.893266;0.799629;0.660979;0.254099;0.097642;0.036556;0.009077;0.004788;0.002863;0.002861;
0.998987;0.979272;0.870905;0.781258;0.637942;0.246667;0.090887;0.026277;0.003471;0.003295;0.002892;0.002861;
0.999951;0.990628;0.878777;0.787706;0.653840;0.263253;0.098518;0.031783;0.005525;0.003388;0.002861;0.002861;
0.992318;0.967883;0.874220;0.789848;0.663402;0.299959;0.139251;0.062520;0.028901;0.017598;0.010227;0.003776;
0.992224;0.968226;0.887505;0.796785;0.647057;0.260949;0.109862;0.041659;0.010806;0.006098;0.003280;0.002912;
0.999907;0.978410;0.877435;0.784516;0.646270;0.268038;0.108249;0.033331;0.004553;0.003579;0.002905;0.002905;
0.998563;0.967508;0.863945;0.797338;0.677669;0.325610;0.158291;0.066069;0.018560;0.006640;0.004034;0.003364;
0.997830;0.971289;0.892030;0.810754;0.668924;0.298058;0.133936;0.057134;0.021823;0.013099;0.007715;0.005212;
0.999302;0.980769;0.888471;0.812049;0.655217;0.323741;0.157325;0.067105;0.019348;0.004665;0.002911;0.002905;
0.979906;0.947156;0.878984;0.796412;0.651080;0.259465;0.110930;0.046977;0.017711;0.013850;0.008916;0.004337;
0.999725;0.982422;0.911594;0.839668;0.702704;0.352419;0.192908;0.105496;0.048568;0.024885;0.006274;0.003047;
0.999307;0.977681;0.912909;0.824507;0.680099;0.316408;0.165135;0.081746;0.037082;0.022791;0.009731;0.003511;
0.999964;0.991632;0.920662;0.838390;0.709200;0.352891;0.190355;0.098625;0.044161;0.021904;0.011061;0.005943;
0.999780;0.972119;0.886130;0.813229;0.653490;0.293405;0.139799;0.063643;0.028369;0.013730;0.005163;0.002998;
0.999499;0.969643;0.885063;0.803536;0.648264;0.266099;0.112572;0.050501;0.023184;0.012190;0.006107;0.003237;
0.999685;0.971918;0.904078;0.822730;0.671008;0.319693;0.148326;0.052141;0.015145;0.008974;0.006081;0.003302;
0.999672;0.975286;0.884138;0.802691;0.652958;0.268286;0.109864;0.041309;0.009167;0.003485;0.002868;0.002867;
0.999970;0.987731;0.890974;0.793719;0.645749;0.258125;0.101188;0.034290;0.004742;0.003228;0.002868;0.002867;
0.994961;0.940787;0.844757;0.771885;0.633135;0.242942;0.093956;0.031094;0.004198;0.003229;0.002868;0.002868;
0.998855;0.957030;0.874898;0.796017;0.660995;0.261988;0.101012;0.027930;0.003531;0.003231;0.002868;0.002868;
0.997483;0.965792;0.872205;0.790548;0.654351;0.262893;0.107122;0.041141;0.011851;0.003524;0.002899;0.002868;
0.999952;0.987856;0.884900;0.783857;0.638400;0.249042;0.097104;0.029189;0.003471;0.003160;0.002868;0.002868;
0.999907;0.988252;0.889545;0.791849;0.641388;0.241584;0.086735;0.027055;0.004724;0.003138;0.002840;0.002840;
0.999967;0.986304;0.886232;0.804175;0.682997;0.316590;0.148684;0.063314;0.021956;0.005900;0.002863;0.002840;
0.999392;0.983901;0.906071;0.833133;0.688313;0.311697;0.154926;0.069895;0.029808;0.012189;0.005243;0.003352;
0.997853;0.960012;0.871871;0.799503;0.676177;0.326810;0.145202;0.057948;0.019730;0.011748;0.007432;0.003730;
0.979140;0.933163;0.850036;0.770505;0.626216;0.270615;0.114206;0.043350;0.015812;0.009549;0.004248;0.002840;
0.992016;0.946090;0.863998;0.800328;0.681621;0.339103;0.155962;0.067176;0.030990;0.016391;0.006565;0.004038;
0.994794;0.958264;0.882566;0.822808;0.660971;0.348917;0.186616;0.101492;0.048332;0.026304;0.015022;0.008508;
0.998528;0.960551;0.900266;0.818140;0.616414;0.278474;0.114890;0.041459;0.006534;0.003212;0.002837;0.002837;
0.999707;0.978916;0.886325;0.805816;0.634060;0.267699;0.121687;0.055900;0.023254;0.015151;0.008992;0.003653;
0.999041;0.972151;0.876303;0.788262;0.601502;0.238142;0.100393;0.030377;0.004567;0.003211;0.002837;0.002837;
0.999239;0.977694;0.896149;0.823240;0.649540;0.260446;0.109373;0.032863;0.004619;0.003046;0.002837;0.002837;
0.999265;0.969118;0.874722;0.790965;0.609440;0.239525;0.096332;0.031037;0.008995;0.005130;0.002837;0.002837;
0.999983;0.986082;0.883031;0.804304;0.624908;0.234180;0.083049;0.021495;0.004332;0.003288;0.002861;0.002837;
0.996007;0.965804;0.876221;0.808656;0.633143;0.243537;0.097436;0.028048;0.007151;0.003194;0.002840;0.002840;
0.997258;0.957846;0.869437;0.804532;0.669976;0.331309;0.173072;0.083276;0.043405;0.027552;0.020430;0.016111;
0.999963;0.989487;0.881317;0.798698;0.642561;0.274768;0.117580;0.040540;0.005324;0.003132;0.002840;0.002840;
0.999996;0.994634;0.913136;0.829232;0.666943;0.282857;0.142416;0.075332;0.039223;0.026985;0.014854;0.006315;
0.999424;0.983601;0.906147;0.815929;0.665714;0.272048;0.125036;0.058043;0.022130;0.015429;0.009217;0.005241;
0.999763;0.976804;0.904941;0.823135;0.674982;0.307882;0.141145;0.053069;0.014565;0.008688;0.005330;0.002840;
0.999935;0.987421;0.891918;0.813970;0.666939;0.268547;0.116875;0.045665;0.012775;0.005776;0.003901;0.002858;
0.997680;0.974978;0.890921;0.802976;0.649312;0.256921;0.107115;0.046277;0.015760;0.008663;0.004167;0.003013;
0.999919;0.976941;0.884831;0.798420;0.658022;0.258777;0.102320;0.033215;0.004850;0.003200;0.002858;0.002858;
0.999905;0.986758;0.886981;0.791406;0.650173;0.259415;0.104013;0.037052;0.010787;0.006419;0.003385;0.002858;
0.994001;0.966505;0.866375;0.789556;0.658939;0.268279;0.122048;0.046181;0.015804;0.010011;0.005877;0.002969;
0.999416;0.987445;0.895782;0.796348;0.632508;0.261006;0.111247;0.036474;0.005690;0.003188;0.002858;0.002858;
0.999721;0.957916;0.848736;0.783154;0.641471;0.254171;0.093914;0.030256;0.005093;0.003671;0.002848;0.002848;
0.999845;0.981098;0.896097;0.814389;0.669951;0.272334;0.118373;0.049944;0.015597;0.005953;0.002867;0.002848;
0.999966;0.988919;0.882411;0.790763;0.658636;0.254389;0.092923;0.024345;0.003245;0.003197;0.002848;0.002848;
0.999971;0.983377;0.880860;0.782622;0.644717;0.242971;0.090919;0.025808;0.003429;0.003200;0.002848;0.002848;
0.988384;0.954568;0.868739;0.784660;0.650894;0.252280;0.103270;0.039393;0.010498;0.007423;0.005193;0.002887;
0.995905;0.952962;0.876736;0.785562;0.656170;0.269295;0.117250;0.053760;0.023803;0.017436;0.010560;0.006997;
0.999608;0.981962;0.905454;0.813480;0.694801;0.321173;0.150571;0.059580;0.019564;0.010362;0.004248;0.002935;
0.990224;0.942141;0.847709;0.770866;0.609397;0.246407;0.094587;0.030354;0.004333;0.003229;0.002858;0.002858;
0.999827;0.980623;0.907177;0.821773;0.677042;0.290408;0.137793;0.064181;0.026808;0.011038;0.005004;0.002868;
