thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240
0,908118;0,785472;0,669212;0,480599;0,300618;0,1318;0;0
0,914447;0,774668;0,665592;0,466992;0,301253;0,132575;0;0
0,904886;0,781615;0,685182;0,479157;0,322155;0,132643;0,000023;0
0,90876;0,775046;0,676488;0,484154;0,314134;0,139626;0;0
0,906549;0,77418;0,675869;0,489648;0,31305;0,137445;0;0
0,909284;0,777002;0,670062;0,480641;0,307734;0,138118;0;0
0,909062;0,780778;0,681064;0,492855;0,316361;0,137848;0;0
0,908311;0,778431;0,682712;0,497747;0,317933;0,142155;0;0
0,913792;0,776953;0,674238;0,484756;0,326501;0,146777;0,000013;0
0,913877;0,778743;0,668763;0,471195;0,319873;0,142327;0,00001;0
0,913949;0,777982;0,666393;0,478753;0,322347;0,142477;0;0
0,921598;0,782448;0,669613;0,479512;0,320505;0,145775;0;0
0,923307;0,78014;0,673779;0,489063;0,324915;0,141917;0;0
0,918675;0,787096;0,681162;0,523141;0,341507;0,147008;0,000091;0
0,919072;0,785352;0,68387;0,522126;0,34015;0,144665;0,000036;0
0,919264;0,786169;0,680687;0,506139;0,343617;0,151559;0;0
0,920674;0,794714;0,68584;0,50748;0,333708;0,141445;0,000072;0
0,926335;0,792741;0,684505;0,4921;0,328799;0,143076;0;0
0,927171;0,806104;0,684733;0,497389;0,329766;0,143008;0;0
0,927614;0,794801;0,701546;0,520358;0,329421;0,143805;0,000026;0
0,931641;0,800778;0,698011;0,509476;0,331598;0,142018;0;0
0,931361;0,804798;0,693714;0,519427;0,331416;0,142643;0;0
0,937871;0,80069;0,699206;0,526481;0,341445;0,148633;0,000068;0
0,930898;0,799577;0,694759;0,534847;0,349092;0,149645;0,000446;0
0,929674;0,799469;0,696758;0,552122;0,359326;0,15113;0,000049;0
0,927119;0,79237;0,69682;0,564118;0,386003;0,152653;0,000143;0
0,925573;0,790524;0,692451;0,545596;0,368464;0,147083;0,000169;0
0,929111;0,796618;0,687038;0,529261;0,355348;0,145046;0,000111;0
0,928164;0,794092;0,696263;0,535827;0,346921;0,14418;0,000013;0
