thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;thr_210;thr_230;
0.062722;0.026302;0.008036;0.001918;0.000086;0.000031;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.078553;0.034976;0.014263;0.002409;0.000015;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.135047;0.073098;0.043545;0.027643;0.016151;0.010309;0.006428;0.002485;0.000570;0.000000;0.000000;0.000000;
0.098570;0.048257;0.023569;0.009505;0.003971;0.000837;0.000010;0.000000;0.000000;0.000000;0.000000;0.000000;
0.086049;0.037975;0.013805;0.002893;0.000267;0.000004;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.183950;0.107931;0.055815;0.022201;0.007429;0.002266;0.000693;0.000181;0.000020;0.000000;0.000000;0.000000;
0.153737;0.091226;0.055316;0.032591;0.016939;0.008757;0.002824;0.001151;0.000264;0.000000;0.000000;0.000000;
0.164457;0.094275;0.053304;0.034732;0.022836;0.017509;0.012269;0.005405;0.000002;0.000000;0.000000;0.000000;
0.111414;0.058699;0.032121;0.019283;0.011172;0.007271;0.004531;0.003010;0.001982;0.000595;0.000000;0.000000;
0.257848;0.168283;0.114638;0.077426;0.047165;0.025818;0.014504;0.009282;0.001650;0.000021;0.000000;0.000000;
0.198333;0.122721;0.083777;0.056318;0.041102;0.025248;0.014069;0.009899;0.006576;0.003946;0.001194;0.000000;
0.266821;0.164427;0.103698;0.062106;0.037731;0.018781;0.004592;0.000474;0.000074;0.000000;0.000000;0.000000;
0.153092;0.081786;0.050422;0.031345;0.016212;0.006529;0.001574;0.000200;0.000000;0.000000;0.000000;0.000000;
0.123154;0.062603;0.032095;0.016569;0.009807;0.005855;0.003398;0.000807;0.000213;0.000000;0.000000;0.000000;
0.222524;0.128928;0.067555;0.033337;0.014272;0.006771;0.001161;0.000009;0.000000;0.000000;0.000000;0.000000;
0.129329;0.059920;0.031149;0.011702;0.001136;0.000064;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;
0.095421;0.040676;0.017050;0.006539;0.000266;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.050143;0.021042;0.007374;0.001842;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.097597;0.048225;0.026576;0.014265;0.006413;0.003024;0.000385;0.000000;0.000000;0.000000;0.000000;0.000000;
0.092552;0.040139;0.023147;0.012677;0.004664;0.001520;0.000559;0.000258;0.000081;0.000000;0.000000;0.000000;
0.080164;0.028158;0.008176;0.001349;0.000532;0.000050;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.062629;0.021947;0.010538;0.004940;0.000787;0.000001;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.183513;0.108377;0.062329;0.030956;0.010283;0.000724;0.000005;0.000000;0.000000;0.000000;0.000000;0.000000;
0.185901;0.109065;0.061599;0.030355;0.013362;0.005130;0.001489;0.000360;0.000000;0.000000;0.000000;0.000000;
0.201696;0.115027;0.063446;0.034833;0.015981;0.006152;0.002429;0.001122;0.000005;0.000000;0.000000;0.000000;
