thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.111414;0.058699;0.032121;0.019283;0.011172;0.007271;0.004531;0.003010;0.001982;0.000595;
0.257848;0.168283;0.114638;0.077426;0.047165;0.025818;0.014504;0.009282;0.001650;0.000021;
0.198333;0.122721;0.083777;0.056318;0.041102;0.025248;0.014069;0.009899;0.006576;0.003946;
0.266821;0.164427;0.103698;0.062106;0.037731;0.018781;0.004592;0.000474;0.000074;0.000000;
0.153092;0.081786;0.050422;0.031345;0.016212;0.006529;0.001574;0.000200;0.000000;0.000000;
0.123154;0.062603;0.032095;0.016569;0.009807;0.005855;0.003398;0.000807;0.000213;0.000000;
0.222524;0.128928;0.067555;0.033337;0.014272;0.006771;0.001161;0.000009;0.000000;0.000000;
0.129329;0.059920;0.031149;0.011702;0.001136;0.000064;0.000002;0.000000;0.000000;0.000000;
0.095421;0.040676;0.017050;0.006539;0.000266;0.000000;0.000000;0.000000;0.000000;0.000000;
0.050143;0.021042;0.007374;0.001842;0.000002;0.000000;0.000000;0.000000;0.000000;0.000000;
0.097597;0.048225;0.026576;0.014265;0.006413;0.003024;0.000385;0.000000;0.000000;0.000000;
0.092552;0.040139;0.023147;0.012677;0.004664;0.001520;0.000559;0.000258;0.000081;0.000000;
0.080164;0.028158;0.008176;0.001349;0.000532;0.000050;0.000000;0.000000;0.000000;0.000000;
0.062629;0.021947;0.010538;0.004940;0.000787;0.000001;0.000000;0.000000;0.000000;0.000000;
0.183513;0.108377;0.062329;0.030956;0.010283;0.000724;0.000005;0.000000;0.000000;0.000000;
0.185901;0.109065;0.061599;0.030355;0.013362;0.005130;0.001489;0.000360;0.000000;0.000000;
0.201696;0.115027;0.063446;0.034833;0.015981;0.006152;0.002429;0.001122;0.000005;0.000000;
0.080961;0.040145;0.021114;0.013646;0.007394;0.000933;0.000002;0.000000;0.000000;0.000000;
0.208592;0.122939;0.071824;0.040221;0.018064;0.005232;0.001369;0.000246;0.000000;0.000000;
0.277225;0.168657;0.090050;0.052508;0.031931;0.018129;0.009257;0.003366;0.000620;0.000000;
0.196059;0.096820;0.049823;0.015915;0.001587;0.000000;0.000000;0.000000;0.000000;0.000000;
0.159663;0.081152;0.050655;0.029759;0.018369;0.009660;0.002702;0.000103;0.000000;0.000000;
0.111714;0.060528;0.030354;0.005106;0.000505;0.000082;0.000000;0.000000;0.000000;0.000000;
0.160792;0.083694;0.041878;0.017821;0.005864;0.002552;0.001415;0.000015;0.000000;0.000000;
0.117917;0.056978;0.023904;0.009005;0.002635;0.000386;0.000001;0.000000;0.000000;0.000000;
0.116106;0.055916;0.028153;0.013231;0.004149;0.000219;0.000016;0.000014;0.000009;0.000000;
0.118767;0.068868;0.042083;0.018704;0.007093;0.002662;0.000286;0.000000;0.000000;0.000000;
0.223763;0.147668;0.099143;0.067091;0.044389;0.032320;0.022498;0.014156;0.006222;0.001682;
0.141452;0.063153;0.027305;0.007331;0.000948;0.000010;0.000000;0.000000;0.000000;0.000000;
0.186151;0.123548;0.094166;0.066303;0.040216;0.022331;0.011046;0.005017;0.001591;0.000031;
0.162061;0.084782;0.048939;0.032806;0.024686;0.016698;0.008096;0.002789;0.001332;0.000000;
0.194468;0.118030;0.068675;0.039364;0.019814;0.010246;0.002513;0.000981;0.000107;0.000000;
0.132983;0.079155;0.050005;0.026611;0.007029;0.001374;0.000049;0.000000;0.000000;0.000000;
0.098510;0.058046;0.036660;0.017360;0.005171;0.001375;0.000132;0.000031;0.000000;0.000000;
0.107892;0.052605;0.022693;0.005806;0.000531;0.000001;0.000000;0.000000;0.000000;0.000000;
0.092986;0.046964;0.025982;0.013604;0.004918;0.000826;0.000001;0.000000;0.000000;0.000000;
0.099773;0.054036;0.031226;0.019419;0.010519;0.004896;0.000496;0.000000;0.000000;0.000000;
0.131162;0.063185;0.030200;0.017068;0.006889;0.000941;0.000120;0.000000;0.000000;0.000000;
0.064735;0.026221;0.007721;0.000539;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
0.149882;0.086834;0.054672;0.029030;0.007568;0.000563;0.000040;0.000000;0.000000;0.000000;
0.089257;0.037192;0.011955;0.003919;0.000058;0.000000;0.000000;0.000000;0.000000;0.000000;
0.052900;0.015739;0.002116;0.000218;0.000005;0.000000;0.000000;0.000000;0.000000;0.000000;
