thr_100;thr_120;thr_140;thr_160;thr_180;thr_200;thr_220;thr_240;
0.069671;0.066888;0.064456;0.062041;0.060101;0.058066;0.027282;0.004294;
0.070583;0.067992;0.065475;0.063132;0.060996;0.059017;0.027331;0.004082;
0.070583;0.067992;0.065475;0.063132;0.060996;0.059017;0.027331;0.004082;
0.072529;0.069528;0.066715;0.064300;0.061963;0.059945;0.028910;0.004577;
0.072529;0.069528;0.066715;0.064300;0.061963;0.059945;0.028910;0.004577;
0.071650;0.067962;0.064619;0.061719;0.059176;0.056927;0.030264;0.004238;
0.071650;0.067962;0.064619;0.061719;0.059176;0.056927;0.030264;0.004238;
0.072041;0.068525;0.065518;0.062897;0.060286;0.057894;0.028148;0.004160;
0.072041;0.068525;0.065518;0.062897;0.060286;0.057894;0.028148;0.004160;
0.073480;0.070570;0.067754;0.065062;0.062581;0.060176;0.029320;0.004567;
0.072314;0.069336;0.066621;0.064089;0.061624;0.059323;0.028734;0.004535;
0.072314;0.069336;0.066621;0.064089;0.061624;0.059323;0.028734;0.004535;
0.071794;0.068945;0.066243;0.063626;0.061025;0.058662;0.027702;0.004372;
0.072979;0.070072;0.067445;0.064801;0.062233;0.059801;0.031012;0.004701;
0.072979;0.070072;0.067445;0.064801;0.062233;0.059801;0.031012;0.004701;
0.075251;0.072376;0.069759;0.067106;0.064678;0.062207;0.031908;0.005228;
0.075452;0.072588;0.069678;0.066921;0.064349;0.061927;0.028900;0.004746;
0.075452;0.072588;0.069678;0.066921;0.064349;0.061927;0.028900;0.004746;
0.075690;0.072663;0.069850;0.067035;0.064382;0.062031;0.029388;0.004867;
0.075690;0.072663;0.069850;0.067035;0.064382;0.062031;0.029388;0.004867;
0.076273;0.073278;0.070605;0.067819;0.065228;0.062933;0.034811;0.005654;
0.076273;0.073278;0.070605;0.067819;0.065228;0.062933;0.034811;0.005654;
