thr_10;thr_30;thr_50;thr_70;thr_90;thr_110;thr_130;thr_150;thr_170;thr_190;
0.999456;0.980219;0.884257;0.806997;0.671085;0.294992;0.135594;0.058780;0.021543;0.009769;
0.999919;0.986806;0.889194;0.796509;0.641341;0.249416;0.093545;0.028867;0.003785;0.003160;
0.999996;0.994464;0.895962;0.802566;0.682466;0.295842;0.133684;0.057970;0.026715;0.019315;
0.998133;0.967784;0.864876;0.772469;0.620956;0.247281;0.094364;0.026814;0.003530;0.003185;
0.999952;0.985535;0.869116;0.779365;0.637949;0.243544;0.090058;0.028300;0.004601;0.003346;
0.999987;0.991921;0.893266;0.799629;0.660979;0.254099;0.097642;0.036556;0.009077;0.004788;
0.998987;0.979272;0.870905;0.781258;0.637942;0.246667;0.090887;0.026277;0.003471;0.003295;
0.999951;0.990628;0.878777;0.787706;0.653840;0.263253;0.098518;0.031783;0.005525;0.003388;
0.992318;0.967883;0.874220;0.789848;0.663402;0.299959;0.139251;0.062520;0.028901;0.017598;
0.992224;0.968226;0.887505;0.796785;0.647057;0.260949;0.109862;0.041659;0.010806;0.006098;
0.999907;0.978410;0.877435;0.784516;0.646270;0.268038;0.108249;0.033331;0.004553;0.003579;
0.998563;0.967508;0.863945;0.797338;0.677669;0.325610;0.158291;0.066069;0.018560;0.006640;
0.997830;0.971289;0.892030;0.810754;0.668924;0.298058;0.133936;0.057134;0.021823;0.013099;
0.999302;0.980769;0.888471;0.812049;0.655217;0.323741;0.157325;0.067105;0.019348;0.004665;
0.979906;0.947156;0.878984;0.796412;0.651080;0.259465;0.110930;0.046977;0.017711;0.013850;
0.999725;0.982422;0.911594;0.839668;0.702704;0.352419;0.192908;0.105496;0.048568;0.024885;
0.999307;0.977681;0.912909;0.824507;0.680099;0.316408;0.165135;0.081746;0.037082;0.022791;
0.999964;0.991632;0.920662;0.838390;0.709200;0.352891;0.190355;0.098625;0.044161;0.021904;
0.999780;0.972119;0.886130;0.813229;0.653490;0.293405;0.139799;0.063643;0.028369;0.013730;
0.999499;0.969643;0.885063;0.803536;0.648264;0.266099;0.112572;0.050501;0.023184;0.012190;
0.999685;0.971918;0.904078;0.822730;0.671008;0.319693;0.148326;0.052141;0.015145;0.008974;
0.999672;0.975286;0.884138;0.802691;0.652958;0.268286;0.109864;0.041309;0.009167;0.003485;
0.999970;0.987731;0.890974;0.793719;0.645749;0.258125;0.101188;0.034290;0.004742;0.003228;
0.994961;0.940787;0.844757;0.771885;0.633135;0.242942;0.093956;0.031094;0.004198;0.003229;
0.998855;0.957030;0.874898;0.796017;0.660995;0.261988;0.101012;0.027930;0.003531;0.003231;
0.997483;0.965792;0.872205;0.790548;0.654351;0.262893;0.107122;0.041141;0.011851;0.003524;
0.999952;0.987856;0.884900;0.783857;0.638400;0.249042;0.097104;0.029189;0.003471;0.003160;
0.999907;0.988252;0.889545;0.791849;0.641388;0.241584;0.086735;0.027055;0.004724;0.003138;
0.999967;0.986304;0.886232;0.804175;0.682997;0.316590;0.148684;0.063314;0.021956;0.005900;
